MANUFACTURER,MODEL,TECNOLOGÍA,POTENCIA,TENSIÓN MÁXIMA,SIZE
Trina Solar,TSM-650DEG21C.20,"Si-mono, bifacial",650,1500,2384x1134x35
Trina Solar,TSM-670DEG21C.20,"Si-mono, bifacial",670,1500,2384x1134x35
